thing_1-num_inv;filename_thumbnail;thing_2-creator;thing_3-assigned;art_7-artwork_descriptive_type;art_8-artwork_unicity_type;event_1-artwork_creation;T9;art_16_artwork_dimension;Description photographic process;org_2-institution_name;Current_localisation;Storage_localisation
9079;009079.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;;;objet_cm_9.3x9.5|image_cm_6.8x7.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 2;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9080;009080.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1892;vers 1892;image_cm_9.4x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9081;009081.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1892;vers 1892;image_cm_6.4x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 2;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9082;009082.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1892;vers 1892;image_cm_8.5x8.9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9083;009083.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891 - 1899;;image_cm_8.5x8.9;"photographie interférentielle
procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9085;009085.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1892;vers 1892;image_cm_9x12;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9086;009086.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1892 (vers);vers 1892;image_cm_9x12;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9087;009087.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1892 (vers);vers 1892;image_cm_8.6x6.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9088;009088.jpg;LIPPMANN Gabriel;Venise;Photographie positif verre polychrome;original;1891-1899;;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9089;009089.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1892;vers 1892;image_cm_6.5x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 2;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9090;009090.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1892 (vers);vers 1892;image_cm_6.8x9.2;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 2;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9898;MEL_LIPPMANN_Gabriel_009898.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891 - 1899;entre 1891 et 1899;image_cm_6.1x8.1;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9899;009899.jpg;LIPPMANN Gabriel;Paysage 1.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_6.5x8.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9900;MEL_LIPPMANN_Gabriel_009900.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_6.5x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9901;009901.jpg;LIPPMANN Gabriel;Vitrail;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_6.3x8;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9902;009902.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_6.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9903;009903.jpg;LIPPMANN Gabriel;Pivoines. 13 mai 97. soleil 10h;Photographie positif verre polychrome;original;-961;;image_cm_6.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 2;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9904;009904.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891 - 1899;entre 1891 et 1899;image_cm_6.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
